"","job","pp","wage"
"185",8,0,9.21902403846154
"186",8,1,15.5848376068376
"187",5,1,12.5177989130435
"188",8,1,7.773555
"189",2,1,15.3650396825397
"190",8,0,11.9877209944751
"191",2,1,13.8075495678699
"192",8,0,20.9171134453782
"193",8,0,13.3026764112903
"194",8,1,7.42924908424908
"195",8,0,6.65912653061225
"196",8,0,15.8834565685571
"197",5,0,11.2632827062478
"198",8,0,9.85110250851657
"199",5,0,16.6343260869565
"200",8,1,12.3038173076923
"202",2,0,16.9713780487805
"203",8,1,16.0774134615385
"204",8,1,16.0723605769231
"205",2,0,16.2609317211949
"206",8,1,8.78002380952381
"207",5,1,22.5188976377953
"208",8,1,9.46536483931947
"209",8,1,16.1917239263804
"210",8,1,16.8172082835524
"211",2,0,20.7940954545455
"212",5,1,17.7288894230769
"213",8,0,10.3545625
"214",8,0,9.5061394891945
"215",5,1,9.09429487179487
"216",5,1,15.1961916208791
"217",5,0,4.62844411826379
"218",5,1,17.5329423076923
"219",8,0,12.0307735042735
"220",5,0,26.544835106383
"221",8,0,13.5973776403915
"222",8,0,37.2306730769231
"223",8,1,15.3191220657277
"224",8,0,15.5902192307692
"225",2,0,12.7238565022422
"226",5,1,16.0495703125
"227",8,1,16.8640650406504
"228",2,1,20.3019269230769
"229",2,0,16.738610619469
"230",8,0,16.2415423076923
"231",8,0,14.3031875
"232",5,0,18.3423076923077
"233",8,0,8.91472985781991
"234",2,0,11.3174731457801
"235",8,0,6.77752840909091
"236",8,1,12.4787273443656
"238",2,0,24.607641025641
"239",8,0,18.1125049019608
"240",8,0,11.3215404996215
"241",5,0,9.68925961538462
"242",8,1,41.5550230414747
"243",8,0,13.2692760942761
"244",2,1,19.4560144230769
"245",8,0,10.3227
"246",2,0,14.9105673076923
"247",5,0,14.99528125
"248",8,1,21.7607444394008
"249",8,1,20.2691499162479
"250",5,0,16.3697307692308
"251",8,1,6.27419815668203
"252",5,0,19.7729634146341
"253",8,1,17.0723801980198
"254",8,0,14.5467810650888
"255",8,1,23.4739117132867
"257",5,0,16.9182740384615
"258",8,0,22.7032322580645
"259",8,1,5.35500072463768
"260",5,0,15.7284606436603
"261",2,0,7.05106155218555
"263",8,1,29.5443197755961
"264",8,0,14.3680008806693
"266",2,0,4.97291753112033
"267",8,0,10.2998461538462
"268",2,0,10.0750758928571
"269",2,0,11.8272623239437
"270",8,0,13.8543350831146
"271",8,0,14.971288
"272",5,0,26.6788165680473
"273",5,1,25.8477289719626
"274",5,0,14.0372989130435
"275",8,0,6.8730484375
"277",5,0,10.5849044117647
"278",5,0,3.22975240384615
"279",5,0,14.8427906976744
"280",5,1,12.325645700395
"281",8,1,14.9105692307692
"282",2,0,21.2746682692308
"283",5,0,5.52243277777778
"284",2,1,15.9675427574171
"285",5,0,16.0404258241758
"286",8,0,9.78515359477124
"287",5,0,6.38339763779528
"288",5,0,14.7051901840491
"289",5,0,20.2241425287356
"290",8,1,14.7115426421405
"291",2,1,24.9152355769231
"292",8,0,14.4768987341772
"293",8,0,32.5840040816326
"294",5,0,9.0764502617801
"295",2,0,7.90908310991957
"296",2,0,32.5792417417417
"297",5,0,44.1810852713178
"298",8,0,7.54071703296703
"299",5,0,7.99549700598802
"300",8,0,6.9893310546875
"301",8,0,36.534358974359
"302",8,0,13.2966682692308
"303",2,0,11.7436740890688
"304",8,1,11.8981692056583
"305",8,0,11.1309687609688
"306",2,1,18.6101009615385
"307",8,0,12.6284301270417
"308",8,0,8.69719339622642
"309",8,1,10.755525
"310",8,1,15.054091503268
"311",2,0,12.9533783231084
"312",8,1,8.90248927038627
"313",5,1,9.8764245061935
"314",2,0,13.0744423076923
"315",8,0,14.1729265734266
"316",2,0,6.83734734239802
